avgRGB,area,perimeter,no_of_edges,label
130.0,2879.5,206,11,Apple
142.0,2784.0,205,9,Apple
128.0,2903.5,205,11,Apple
127.0,2940.0,208,12,Apple
126.0,2934.0,208,13,Apple
126.0,2908.5,207,12,Apple
146.0,2677.0,202,14,Apple
125.0,2902.0,210,11,Apple
124.0,2911.5,205,11,Apple
124.0,2819.5,231,14,Apple
124.0,2867.5,220,15,Apple
125.0,2908.5,208,13,Apple
125.0,2909.0,207,13,Apple
125.0,2913.5,209,12,Apple
126.0,2902.5,207,13,Apple
132.0,2798.5,204,13,Apple
130.0,2896.0,207,12,Apple
133.0,2873.0,206,10,Apple
134.0,2865.0,206,11,Apple
147.0,2635.0,205,14,Apple
135.0,2858.0,204,11,Apple
135.0,2851.5,205,11,Apple
136.0,2835.5,206,12,Apple
138.0,2819.0,204,11,Apple
139.0,2811.0,205,11,Apple
139.0,2808.0,203,10,Apple
142.0,2793.0,201,11,Apple
143.0,2774.5,204,12,Apple
143.0,2773.0,202,11,Apple
143.0,2772.5,204,11,Apple
143.0,2766.5,204,12,Apple
144.0,2757.0,203,11,Apple
145.0,2730.0,204,12,Apple
144.0,2649.5,207,13,Apple
144.0,2647.0,209,13,Apple
142.0,2696.0,208,13,Apple
143.0,2650.5,211,12,Apple
144.0,2611.0,218,12,Apple
145.0,2559.0,213,12,Apple
147.0,2510.0,207,14,Apple
146.0,2516.5,208,14,Apple
145.0,2530.0,205,14,Apple
144.0,2526.5,208,14,Apple
144.0,2535.0,203,14,Apple
141.0,2583.5,204,13,Apple
138.0,2640.5,207,14,Apple
132.0,2747.5,205,16,Apple
127.0,2805.5,200,10,Apple
128.0,2803.5,200,14,Apple
128.0,2798.5,200,13,Apple
132.0,2770.5,205,15,Apple
125.0,2854.0,201,12,Apple
144.0,2750.5,205,11,Apple
126.0,2862.5,202,13,Apple
123.0,2929.5,205,11,Apple
121.0,2991.5,205,12,Apple
124.0,2936.5,204,11,Apple
139.0,2909.0,205,11,Apple
123.0,2933.5,205,12,Apple
120.0,2991.5,205,11,Apple
114.0,3049.5,206,12,Apple
111.0,3052.0,207,11,Apple
110.0,3058.0,207,12,Apple
108.0,3082.0,209,12,Apple
134.0,2734.0,206,11,Apple
124.0,2736.5,208,14,Apple
133.0,2555.5,208,14,Apple
138.0,2484.5,209,13,Apple
143.0,2447.0,207,13,Apple
143.0,2451.5,208,13,Apple
143.0,2532.0,205,14,Apple
136.0,2794.0,208,12,Apple
137.0,2857.0,205,13,Apple
141.0,2805.0,203,12,Apple
143.0,2794.0,201,13,Apple
147.0,2713.5,197,13,Apple
147.0,2710.0,196,13,Apple
147.0,2722.5,197,13,Apple
144.0,2786.0,197,12,Apple
134.0,2743.5,206,11,Apple
131.0,2792.0,204,13,Apple
144.0,2729.5,204,9,Apple
134.0,2748.5,206,12,Apple
130.0,2859.5,204,12,Apple
131.0,2863.5,202,13,Apple
132.0,2859.5,203,13,Apple
133.0,2869.0,207,10,Apple
131.0,2873.5,207,12,Apple
131.0,2875.0,207,10,Apple
116.0,2770.0,202,14,Pomegranate
93.0,3031.0,223,15,Pomegranate
96.0,2986.5,220,16,Pomegranate
94.0,2981.5,223,16,Pomegranate
96.0,2928.5,218,14,Pomegranate
92.0,3004.0,222,16,Pomegranate
113.0,2821.0,205,15,Pomegranate
98.0,2888.5,218,18,Pomegranate
94.0,2961.0,219,14,Pomegranate
94.0,2967.5,214,15,Pomegranate
93.0,2973.5,214,16,Pomegranate
97.0,2908.5,210,16,Pomegranate
97.0,2930.5,212,15,Pomegranate
100.0,2870.0,210,14,Pomegranate
104.0,2831.0,207,14,Pomegranate
104.0,2827.0,207,14,Pomegranate
105.0,2839.5,208,14,Pomegranate
108.0,2829.0,207,14,Pomegranate
109.0,2863.5,206,14,Pomegranate
104.0,2922.0,209,16,Pomegranate
100.0,2995.0,209,13,Pomegranate
105.0,2911.0,207,14,Pomegranate
103.0,2937.0,207,12,Pomegranate
104.0,2930.5,208,14,Pomegranate
113.0,2877.5,212,15,Pomegranate
104.0,2971.5,209,15,Pomegranate
102.0,3075.5,214,14,Pomegranate
133.0,2760.0,209,16,Pomegranate
132.0,2766.5,206,16,Pomegranate
142.0,2535.0,211,15,Pomegranate
144.0,2470.5,207,15,Pomegranate
147.0,2413.0,207,16,Pomegranate
149.0,2360.0,205,16,Pomegranate
151.0,2315.0,202,17,Pomegranate
150.0,2317.5,203,16,Pomegranate
150.0,2317.0,203,15,Pomegranate
105.0,2873.0,207,14,Pomegranate
152.0,2274.5,201,14,Pomegranate
142.0,2439.5,202,12,Pomegranate
102.0,2946.5,209,13,Pomegranate
134.0,2605.0,203,15,Pomegranate
105.0,2861.0,208,14,Pomegranate
119.0,2911.5,202,12,Pomegranate
116.0,2975.5,204,10,Pomegranate
112.0,3052.5,208,12,Pomegranate
113.0,3036.0,207,12,Pomegranate
113.0,3027.0,207,14,Pomegranate
110.0,3100.5,210,12,Pomegranate
110.0,3095.0,209,12,Pomegranate
109.0,2942.5,212,15,Pomegranate
108.0,3117.0,211,13,Pomegranate
108.0,3109.5,210,12,Pomegranate
108.0,3109.5,210,11,Pomegranate
108.0,3098.0,209,12,Pomegranate
108.0,3091.0,209,14,Pomegranate
109.0,3090.5,210,13,Pomegranate
105.0,3162.5,212,14,Pomegranate
135.0,2642.5,202,13,Pomegranate
108.0,3128.0,211,12,Pomegranate
113.0,3047.5,210,11,Pomegranate
113.0,3048.0,208,13,Pomegranate
113.0,3041.0,207,13,Pomegranate
117.0,2963.0,205,13,Pomegranate
117.0,2964.0,205,12,Pomegranate
121.0,2887.0,205,11,Pomegranate
132.0,2614.5,201,14,Pomegranate
127.0,2841.0,204,12,Pomegranate
125.0,2902.0,205,11,Pomegranate
140.0,2523.0,209,16,Pomegranate
122.0,2965.0,204,13,Pomegranate
118.0,3034.5,209,14,Pomegranate
119.0,3036.5,209,14,Pomegranate
119.0,3052.5,209,14,Pomegranate
117.0,3125.5,211,11,Pomegranate
117.0,3116.5,210,13,Pomegranate
118.0,3105.0,210,14,Pomegranate
117.0,3114.0,209,14,Pomegranate
117.0,3115.0,209,12,Pomegranate
117.0,3126.5,210,13,Pomegranate
116.0,3159.5,212,15,Pomegranate
102.0,2891.5,208,13,Pomegranate
127.0,2882.0,206,11,Pomegranate
130.0,2809.5,204,11,Pomegranate
105.0,2855.0,206,16,Pomegranate
101.0,2844.5,204,17,Pomegranate
100.0,2853.5,206,15,Pomegranate
116.0,2784.0,203,15,Pomegranate
96.0,2896.0,212,14,Pomegranate
108.0,2941.5,213,17,Pomegranate
88.0,3040.0,219,13,Pomegranate
89.0,3025.0,219,12,Pomegranate
169.0,2338.5,191,12,Pear
179.0,2288.0,189,13,Pear
178.0,2296.5,188,13,Pear
178.0,2297.0,189,12,Pear
178.0,2300.5,189,13,Pear
171.0,2279.5,191,11,Pear
178.0,2320.5,190,12,Pear
177.0,2327.5,192,13,Pear
176.0,2354.0,189,11,Pear
177.0,2349.5,190,14,Pear
176.0,2358.0,189,12,Pear
176.0,2352.5,190,11,Pear
176.0,2367.0,189,12,Pear
176.0,2373.0,191,12,Pear
176.0,2375.0,192,12,Pear
171.0,2271.5,188,10,Pear
176.0,2380.5,189,14,Pear
176.0,2381.0,188,14,Pear
176.0,2383.0,189,11,Pear
176.0,2386.5,191,12,Pear
176.0,2390.0,189,12,Pear
171.0,2260.0,189,11,Pear
176.0,2416.0,192,13,Pear
176.0,2420.5,190,11,Pear
172.0,2259.5,189,11,Pear
174.0,2436.0,191,11,Pear
174.0,2433.0,191,12,Pear
174.0,2436.0,191,10,Pear
177.0,2222.5,187,15,Pear
